category,product_name_ar,description_ar,price_ils,image_file
"طباعة على البلايز","طباعة بلايز بشعار المحل","طباعة شعار أو تصميم مخصص على البلايز؛ المقاسات والتفاصيل حسب الطلب.",,"photos/logo-tshirts.jpg"
"طباعة على البلايز","طباعة بلايز للمناسبات","طباعة بلايز للفرق والفعاليات والمناسبات بتصميم مخصص.",,"photos/event-tshirts.jpg"
"طباعة على الأقلام","أقلام دعائية بشعار","طباعة اسم المحل أو شعاره على أقلام دعائية؛ اللون والكمية حسب الطلب.",,"photos/promotional-pens.jpg"
"طباعة على الأقلام","أقلام هدايا للشركات","تجهيز أقلام كهدايا دعائية بعبارة أو شعار مخصص.",,"photos/gift-pens.jpg"
"ستاندات وبنرات","ستاند رول أب","تصميم وطباعة ستاند رول أب للمعارض والمحال؛ المقاس حسب الطلب.",,"photos/rollup-stand.jpg"
"ستاندات وبنرات","بنر إعلاني","طباعة بنرات للفعاليات والحملات الدعائية؛ المقاس والخامة حسب الطلب.",,"photos/advertising-banner.jpg"
"لوحات وإعلانات","لوحة إعلانية خارجية","تصميم وطباعة لوحة إعلانية خارجية؛ المقاس والتركيب حسب الطلب.",,"photos/outdoor-sign.jpg"
"لوحات وإعلانات","لوحة أكريليك","تنفيذ لوحة أكريليك للمحل أو المكتب حسب التصميم والأبعاد المطلوبة.",,"photos/acrylic-sign.jpg"
"كروت وبروشورات","كروت أعمال","تصميم وطباعة كروت أعمال حسب الهوية المطلوبة والكمية.",,"photos/business-cards.jpg"
"كروت وبروشورات","بروشورات دعائية","تصميم وطباعة بروشورات تعريفية بالعروض أو الخدمات.",,"photos/brochures.jpg"
"ستيكرات وملصقات","ستيكرات شعار","طباعة ستيكرات بالشعار أو التصميم المطلوب، بأحجام وأشكال مختلفة.",,"photos/logo-stickers.jpg"
"ستيكرات وملصقات","ملصقات منتجات","طباعة ملصقات للعبوات والتغليف حسب المقاس والتصميم.",,"photos/product-labels.jpg"
"هدايا دعائية","أكواب مطبوعة","طباعة شعار أو تصميم على أكواب للهدايا والفعاليات.",,"photos/printed-mugs.jpg"
"هدايا دعائية","دفاتر دعائية","تجهيز دفاتر بغطاء أو شعار مخصص للهدايا الدعائية.",,"photos/branded-notebooks.jpg"
